SARM_COLINA_CIU_CSR_R27_13646;172.26.41.9;7705SAR-M;8000;"B-VPLS"
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;8000;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130024001;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130024002;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130024003;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130025500;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130063101;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130063102;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130063103;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130063104;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130063105;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130063106;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130063107;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130064001;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130064002;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130064003;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130064004;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130064005;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130064006;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130064007;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130064008;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130064009;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130064010;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130064011;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130064012;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130064013;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130064103;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130064104;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130064106;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130064107;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130064108;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130064109;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130066001;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130067001;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130067002;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130067101;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130067102;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130074010;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130074011;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130074012;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130074013;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130074014;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130214012;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130214013;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;150074001;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;150077001;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;8000;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130024001;
SR7_CONCERT_HR_A_13006;172.26.32.1;7750SR-7;8000;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130024002;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130024003;
SR7_CONCERT_HR_A_13006;172.26.32.1;7750SR-7;130024001;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130025500;
SR7_CONCERT_HR_A_13006;172.26.32.1;7750SR-7;130024002;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130063101;
SR7_CONCERT_HR_A_13006;172.26.32.1;7750SR-7;130024003;
SR7_CONCERT_HR_B_13006;172.26.32.2;7750SR-7;130063102;
SR7_CONCERT_HR_A_13006;172.26.32.1;7750SR-7;130025500;
