172.26.32.10;SARM_QUILI_PONIENTE_CSR_R2_13599;7705SAR-M;B-7.0.R9;10.1.1.1/24;271;21:17:15.75;3.40%;195.269.504;SAM
172.26.32.11;SARM_QUILIC_NORTE_CSR_R2_13827;7705SAR-M;B-7.0.R9;10.1.1.1/24;91;17:53:44.18;8.34%;196.318.128;SAM
172.26.32.12;SARM_QUILICURA_ESTA_CSR_R2_13626;7705SAR-M;B-7.0.R9;10.1.1.1/24;277;10:45:15.72;3.94%;195.269.504;SAM
172.26.32.13;SARM_GUARD_RIQUELME_CSR_R2_13327;7705SAR-M;B-7.0.R9;10.1.1.1/24;312;11:03:48.77;3.52%;195.269.504;SAM
172.26.32.14;SARM_VESPUCIO_RUTA5_CSR_R3_13323;7705SAR-M;B-7.0.R9;10.1.1.1/24;7;00:00:50.53;44.10%;198.415.376;SAM
172.26.32.16;SARM_ELCARMEN_HUECH_CSR_R3_13602;7705SAR-M;B-7.0.R9;10.1.1.1/24;42;09:23:01.64;4.22%;197.366.752;SAM
172.26.32.17;SARM_STA_MARTA2_CSR_R3_13914;7705SAR-M;B-7.0.R9;10.1.1.1/24;18;00:20:09.01;12.40%;199.988.336;SAM
172.26.32.18;SARM_ESP_RIESCO_CSR_R4_13i026;7705SAR-M;B-7.0.R9;10.1.1.1/24;64;08:39:13.09;4.86%;196.318.128;SAM
172.26.32.200;SAR8V2_CORP_CONCERT_A;7705SAR-8v2;B-7.0.R9;10.1.1.1/24;322;09:28:47.19;92.78%;739.315.664;SAM
172.26.32.201;SAR8V2_CORP_CONCERT_B;7705SAR-8v2;B-7.0.R9;10.1.1.1/24;322;09:45:36.46;94.39%;758.467.344;SAM
172.26.32.197;SARM_LAMPA_RIBEIRO_CSR_R25_23091;7705SAR-M;B-7.0.R9;10.1.1.1/24;174;10:42:42.13;9.16%;195.007.280;SAM
172.26.32.202;SAR8V2_QUILICURA2_CSR_R6_13019;7705SAR-8v2;B-7.0.R9;10.1.1.1/24;284;11:21:13.20;93.95%;743.524.880;SAM
172.26.32.199;SARM_LAMPA_NORTE_CSR_R25_13303;7705SAR-M;B-7.0.R9;10.1.1.1/24;19;20:09:53.26;6.51%;197.104.560;SAM
172.26.32.25;SARA_LO_CAMPINO_CSR_13566;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;52;19:52:04.75;15.64%;204.567.024;SAM
172.26.32.20;SARM_PUNTA_MOCHA_CSR_R4_23393;7705SAR-M;B-7.0.R9;10.1.1.1/24;137;07:40:57.99;60.83%;195.007.312;SAM
172.26.32.203;SARM_QUILICURA_IND_CSR_R6_13154;7705SAR-M;B-7.0.R9;10.1.1.1/24;117;22:38:59.30;10.37%;195.007.312;SAM
172.26.32.204;SARM_QUI_PARQ_NORT_CSR_R6_13305;7705SAR-M;B-7.0.R9;10.1.1.1/24;36;17:50:23.35;2.46%;196.318.128;SAM
172.26.32.205;SARM_PARQUE_IND_LIB_CSR_R6_13173;7705SAR-M;B-7.0.R9;10.1.1.1/24;5;14:44:33.84;5.12%;198.939.712;SAM
172.26.32.206;SARM_ESTERAS_SUR_CSR_R7_13840;7705SAR-M;B-7.0.R9;10.1.1.1/24;271;10:29:33.13;23.25%;193.958.656;SAM
172.26.32.45;SARA_BATUCO_CSR_13302;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;7;05:42:16.66;23.19%;203.518.400;SAM
172.26.32.189;SARM_CAMINO_LO_PINTO_13077;7705SAR-M;B-7.0.R9;10.1.1.1/24;180;19:10:05.34;6.42%;196.318.128;SAM
172.26.32.248;SARA_TRENES_INDUS_CSR_23789;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;90;21:37:41.16;10.08%;203.518.400;SAM
